name;country_un_registery;users;purposes;orbit_class;perigee_km;apogee_km;inclination_deg;period_minutes;launch_mass_kg;launch_date;expected_lifetime_yrs;launch_site;launch_vehicle;operator;operatory_country
1HOPSAT-TD;;Commercial;Earth Observation;LEO;566;576;36.9;96.08;22;11.12.2019;0.5;Satish Dhawan Space Centre;PSLV;Hera Systems;USA
Aalto-1;Finland;Civil;Technology Development;LEO;497;517;97.45;94.7;5;23.06.2017;2;Satish Dhawan Space Centre;PSLV;Aalto University;Finland
AAt-4;Denmark;Civil;Earth Observation;LEO;442;687;98.2;95.9;1;25.04.2016;;Guiana Space Center;Soyuz-2.1a;University of Aalborg;Denmark
ABS-2;;Commercial;Communications;GEO;35778;35793;0.08;1436.03;6330;06.02.2014;15;Guiana Space Center;Ariane 5 ECA;Asia Broadcast Satellite Ltd.;Multinational
ABS-2A;;Commercial;Communications;GEO;35700;35700;0;1436.1;1800;15.06.2016;15;Cape Canaveral;Falcon 9;Asia Broadcast Satellite Ltd.;Multinational
ABS-3A;;Commercial;Communications;GEO;35788;35803;0.1;1436;2000;02.03.2015;15;Cape Canaveral;Falcon 9;Asia Broadcast Satellite Ltd.;Multinational
ABS-4;;Commercial;Communications;GEO;35780;35793;0.01;1436.1;4143;13.03.2004;12;Cape Canaveral;Atlas 3;Asia Broadcast Satellite Ltd.;Multinational
ABS-6;;Commercial;Communications;GEO;35777;35794;0.01;1436.08;2894;26.09.1999;15;Baikonur Cosmodrome;Proton;Asia Broadcast Satellite Ltd.;Multinational
Adelis-Sampson 1;;Government;Technology Development;LEO;538;561;97.5;95.5;9;22.03.2021;;Baikonur Cosmodrome;Soyuz-2.1a;Asher Space Research Institute at Technion/Israeli Aircraft Industries;Israel
Adelis-Sampson 2;;Government;Technology Development;LEO;539;599;97.5;95.5;9;22.03.2021;;Baikonur Cosmodrome;Soyuz-2.1a;Asher Space Research Institute at Technion/Israeli Aircraft Industries;Israel
Adelis-Sampson 3;;Government;Technology Development;LEO;537;561;97.5;95.5;9;22.03.2021;;Baikonur Cosmodrome;Soyuz-2.1a;Asher Space Research Institute at Technion/Israeli Aircraft Industries;Israel
USA 311;USA;Military;Earth Observation;GEO;35700;35800;0;1437.6;5400;11.12.2020;;Cape Canaveral;Delta 4 Heavy;National Reconnaissance Office (NRO);USA
USA 139;USA;Military;Earth Observation;GEO;35560;36013;7.72;1436.14;5200;09.05.1998;;Cape Canaveral;Titan IVA;National Reconnaissance Office (NRO);USA
USA 171;USA;Military;Earth Observation;GEO;35589;35984;3.2;1436.1;5200;09.09.2003;;Cape Canaveral;Titan IV;National Reconnaissance Office (NRO);USA
USA 202;USA;Military;Earth Observation;GEO;35714;35937;2.89;1438.8;5400;18.01.2009;;Cape Canaveral;Delta 4 Heavy;National Reconnaissance Office (NRO);USA
USA 223;USA;Military;Earth Observation;GEO;35500;35500;0;1436;5000;21.11.2010;;Cape Canaveral;Delta 4 Heavy;National Reconnaissance Office (NRO);USA
USA 237;USA;Military;Earth Observation;GEO;35771;35805;0;1436.1;5000;29.06.2012;;Cape Canaveral;Delta 4 Heavy;National Reconnaissance Office (NRO);USA
USA 268;USA;Military;Earth Observation;GEO;35613;35903;7.51;1437.19;5000;11.06.2016;;Cape Canaveral;Delta 4 Heavy;National Reconnaissance Office (NRO);USA
USA 246;;Military;Communications;GEO;35700;35803;4.2;1436.1;6169;18.09.2013;14;Cape Canaveral;Atlas 5;US Air Force;USA
USA 288;USA;Military;Communications;GEO;35781;35790;0.05;1436.1;6169;17.10.2018;;Cape Canaveral;Atlas 5;US Air Force;USA
USA 292;USA;Military;Communications;GEO;35780;35810;6.4;1436.2;6169;08.08.2019;;Cape Canaveral;Atlas 5;US Air Force;USA
USA 298;USA;Military;Communications;GEO;35780;35780;0;1436;6169;26.03.2020;;Cape Canaveral;Atlas 5;US Air Force ;USA
